"","TV","Influencers","Newspaper","Sales","Shopping","Radio"
"85",213.5,43,33.8,21.7,0,14.6
"86",193.2,18.4,65.7,15.2,0,14.7
"87",76.3,27.5,16,12.6,1,15.5
"88",110.7,40.6,63.2,16.6,1,15.5
"89",88.3,25.5,73.4,13.5,1,16
"90",109.8,47.8,51.4,16.7,0,14.3
"91",134.3,4.9,9.3,11.2,0,14.6
"92",28.6,1.5,33,7.3,0,14.1
"93",217.7,33.5,59,20,1,14.9
"94",250.9,36.5,72.3,22.8,1,15.6
"95",107.4,14,10.9,11.5,0,16.3
"96",163.3,31.6,52.9,16.9,0,14.5
"97",197.6,3.5,5.9,12.3,1,15
"98",184.9,21,22,16.1,1,14.4
"99",289.7,42.3,51.2,26,1,15.3
"100",135.2,41.7,45.9,17.8,1,14.9
"101",222.4,4.3,49.8,12.3,1,15.8
"102",296.4,36.3,100.9,24.4,1,17.4
"103",280.2,10.1,21.4,15.4,1,15.6
"104",187.9,17.2,17.9,14.7,0,14.7
"105",238.2,34.3,5.3,20.7,0,14.4
"106",137.9,46.4,59,19.2,0,14
"107",25,11,29.7,7.2,0,17.3
"108",90.4,0.3,23.2,8.7,0,13.9
"109",13.1,0.4,25.6,5.9,1,15.6
"110",255.4,26.9,5.5,19.8,0,14.3
"111",225.8,8.2,56.5,14,1,17.3
"112",241.7,38,23.2,21.8,0,12.7
"113",175.7,15.4,2.4,14.1,0,15.5
"114",209.6,20.6,10.7,15.9,0,15.4
"115",78.2,46.8,34.5,14.6,0,15.6
"116",75.1,35,52.7,12.6,0,16.6
"117",139.2,14.3,25.6,12.2,0,16.3
"118",76.4,0.8,14.8,9.4,0,14.1
"119",125.7,36.9,79.2,15.9,0,15.7
"120",19.4,16,22.3,6.6,0,14.8
"121",141.3,26.8,46.2,16.1,1,13.5
"122",18.8,21.7,50.4,7,0,15.1
"123",224,2.4,15.6,12.2,1,15.5
"124",123.1,34.6,12.4,15.2,0,14.7
"125",229.5,32.3,74.2,19.7,0,14.4
"126",87.2,11.8,25.9,10.6,0,14.4
"127",7.8,38.9,50.6,6.6,0,15.1
"128",80.2,0,9.2,9.4,1,15.7
"129",220.3,49,3.2,24.7,0,14.5
"130",59.6,12,43.1,9.7,0,15.6
"131",0.7,39.6,8.7,1.6,0,15.4
"132",265.2,2.9,43,12.7,0,12.2
"133",8.4,27.2,2.1,5.7,0,14.2
"134",219.8,33.5,45.1,19.6,0,15.6
"135",36.9,38.6,65.6,11.4,1,15.2
"136",48.3,47,8.5,11.6,0,14.1
"137",25.6,39,9.3,9.5,0,15.2
"138",273.7,28.9,59.7,21.4,1,14
"139",43,25.9,20.5,10.2,1,14.9
"140",184.9,43.9,1.7,20.7,0,14.2
"141",73.4,17,12.9,10.9,0,15.1
"142",193.7,35.4,75.6,19.2,0,15
"143",220.5,33.2,37.9,20.7,1,14.3
"144",104.6,5.7,34.4,11,1,14.9
"145",96.2,14.8,38.9,12,1,15.1
"146",140.3,1.9,9,10.3,0,13.9
"147",240.1,7.3,8.7,13.8,1,15.8
"148",243.2,49,44.3,25.4,0,14.3
"149",38,40.3,11.9,11.5,1,15.9
"150",44.7,25.8,20.6,10.7,1,14.3
"151",280.7,13.9,37,16.1,0,14.8
"152",121,8.4,48.7,12.2,1,15.8
"153",197.6,23.3,14.2,16.6,0,16
"154",171.3,39.7,37.7,19,0,13.5
"155",187.8,21.1,9.5,15.6,0,13.7
"156",4.1,11.6,5.7,3.2,0,15.1
"157",93.9,43.5,50.5,15.3,0,13.6
"158",149.8,1.3,24.3,10.1,0,17.2
"159",11.7,36.9,45.2,7.9,1,15.1
"160",131.7,18.4,34.6,12.9,0,16.2
"161",172.5,18.1,30.7,15,1,15.2
"162",85.7,35.8,49.3,13.9,1,14.6
"163",188.4,18.1,25.6,15.5,1,16.4
"164",163.5,36.8,7.4,18.6,1,14.7
"165",117.2,14.7,5.4,12.5,1,14.7
"166",234.5,3.4,84.8,11.9,0,15.1
"167",17.9,37.6,21.6,8,0,15.4
"168",206.8,5.2,19.4,12.2,0,15.1
"169",215.4,23.6,57.6,17.7,1,16.1
"170",284.3,10.6,6.4,15,0,16.2
"171",50,11.6,18.4,9,1,15.2
"172",164.5,20.9,47.4,14.5,0,15.3
"173",19.6,20.1,17,8.2,1,15
"174",168.4,7.1,12.8,12.3,1,13.6
"175",222.4,3.4,13.1,12.1,1,13.4
"176",276.9,48.9,41.8,27.6,1,15.9
"177",248.4,30.2,20.3,20.2,0,16.5
"178",170.2,7.8,35.2,11.7,0,15.8
"179",276.7,2.3,23.7,11.8,0,15.3
"180",165.6,10,17.6,12.6,0,15.2
"181",156.6,2.6,8.3,11.1,1,14.4
"182",218.5,5.4,27.4,12.2,0,15.6
"183",56.2,5.7,29.7,9.3,1,16.6
"184",287.6,43,71.8,26.2,0,17.1
"185",253.8,21.3,30,18.2,1,15.3
"186",205,45.1,19.6,23.2,1,15.2
"187",139.5,2.1,26.6,10.3,0,15.6
"188",191.1,28.7,18.2,17.3,0,14.4
"189",286,13.9,3.7,15.9,0,15.3
"190",18.7,12.1,23.4,6.7,0,15.8
"191",39.5,41.1,5.8,11.4,1,14.9
"192",75.5,10.8,6,10.5,1,15.1
"193",17.2,4.1,31.6,6.5,1,15.6
"194",166.8,42,3.6,20.2,1,15.2
"195",149.7,35.6,6,17.9,1,16
"196",38.2,3.7,13.8,8.2,1,14.9
"197",94.2,4.9,8.1,9.7,0,13.2
"198",177,9.3,6.4,12.8,0,13.9
"199",283.6,42,66.2,25.5,0,14.5
"200",232.1,8.6,8.7,14,1,15.7
